Region,Total,Total Native,DOC Sampling already,Requires RC sampling,Requires RC sampling,Total number of 8-km that would require RC to sample**
Auckland,79,34,5,29,45,74
Bay of Plenty,198,160,38,122,38,160
Canterbury,711,516,205,311,195,506
Gisborne,130,115,8,107,15,122
Hawkes Bay,218,132,29,103,86,189
Manawatu-Wanganui,349,256,61,195,93,288
Marlborough,158,147,74,73,11,84
Nelson,7,7,2,5,0,5
Northland,202,110,29,81,92,173
Otago,497,407,92,315,90,405
Southland,495,389,277,112,106,218
Taranaki,115,68,26,42,47,89
Tasman,154,143,103,40,11,51
Waikato,382,219,63,156,163,319
Wellington,127,95,24,71,32,103
West Coast,357,351,305,46,6,52
Total,4179,3149,1341,1808,1030,2838
