Region,Area (km^2),% PCL,% Off-PCL,% Native,% Impacted
Auckland,4910.3,6.0,94.0,47.5,52.5
Bay of Plenty,12279.1,21.8,78.2,81.5,18.5
Canterbury,45218.6,27.0,73.0,72.7,27.3
Gisborne,8390.9,7.6,92.4,88.9,11.1
Hawkes Bay,14199.2,12.9,87.1,66.6,33.4
Manawatu-Wanganui,22224.8,17.8,82.2,73.8,26.2
Marlborough,10487.2,46.1,53.9,91.6,8.4
Nelson,423.7,13.7,86.3,88.4,11.6
Northland,12520.3,12.4,87.6,56.1,43.9
Otago,31908,20.2,79.8,81.8,18.2
Southland,31936.5,57.9,42.1,78.1,21.9
Taranaki,7255,19.7,80.3,62.1,37.9
Tasman,9643.8,64.9,35.1,91.6,8.4
Waikato,24593.2,15.2,84.8,56.2,43.8
Wellington,8118.2,17.5,82.5,75.9,24.1
West Coast,23359.7,84.1,15.9,96.9,3.1
