# Appendix 1 of Holdaway et al. 2016 Design of New Zealand's grid -based plot network (Landcare Research contract report),,,,,,,,,,,
# Updated 19 July 2016,,,,,,,,,,,
# Static Master Data for national 8km plot grid,,,,,,,,,,,
# Created by Robert Holdaway 20th April 2016,,,,,,,,,,,
# Column A = plotID,,,,,,,,,,,
"# Columns F-K = ideal gird-based plot location, in NZTM, NZMG and WGS84",,,,,,,,,,,
# Columns B & C = ideal randomised year of measurement for a 5 year measurement cycle for all plots,,,,,,,,,,,
# Columns D & E = ideal randomised year of measurement for a 10 year measurement cycle for all plots,,,,,,,,,,,
"# Column L = regional boundaries based on the New Zealand 2016 12 mile high definition spatial layer, downloaded from Statistics New Zealand on 14 April 2016",,,,,,,,,,,
#,,,,,,,,,,,
PlotID,cycle.year,cycle.code,cycle.year.10yr,cycle.code.10yr,NZMG_Northing,NZMG_Easting,WGS84_Lat,WGS84_Long,NZTM_Northing,NZTM_Easting,Region
AA138,2014,1,2015,2,5693074,2184051,-43.89815223,168.9412291,5131426.536,1274024.746,West Coast Region
AA139,2014,1,2015,2,5685074,2184051,-43.97006159,168.9363324,5123419.692,1274025.166,West Coast Region
AA140,2016,3,2018,5,5677074,2184051,-44.04197134,168.931422,5115412.675,1274025.969,West Coast Region
AA141,2017,4,2021,8,5669074,2184051,-44.11388133,168.9264983,5107405.501,1274027.17,West Coast Region
AA142,2015,2,2017,4,5661074,2184051,-44.1857914,168.9215612,5099398.189,1274028.788,West Coast Region
AA143,2014,1,2015,2,5653074,2184051,-44.25770187,168.9166113,5091390.704,1274030.855,Otago Region
AA144,2015,2,2017,4,5645074,2184051,-44.32961227,168.9116483,5083383.098,1274033.37,Otago Region
AA145,2015,2,2017,4,5637074,2184051,-44.40152241,168.9066724,5075375.395,1274036.336,Otago Region
AA146,2018,5,2023,10,5629074,2184051,-44.47343211,168.9016839,5067367.613,1274039.793,Otago Region
AA147,2018,5,2023,10,5621074,2184051,-44.54534122,168.8966827,5059359.772,1274043.724,Otago Region
AA148,2017,4,2021,8,5613074,2184051,-44.61724963,168.8916686,5051351.88,1274048.137,Otago Region
AA149,2016,3,2018,5,5605074,2184051,-44.68915721,168.8866419,5043343.957,1274053.046,Otago Region
AA150,2014,1,2015,2,5597074,2184051,-44.76106397,168.8816024,5035335.997,1274058.437,Otago Region
AA151,2014,1,2014,1,5589074,2184051,-44.83296999,168.8765498,5027327.993,1274064.306,Otago Region
AA152,2014,1,2014,1,5581074,2184051,-44.90487524,168.8714843,5019319.947,1274070.66,Otago Region
AA153,2018,5,2022,9,5573074,2184051,-44.97677976,168.8664058,5011311.857,1274077.503,Otago Region
AA154,2014,1,2015,2,5565074,2184051,-45.04868345,168.8613143,5003303.733,1274084.836,Otago Region
AA155,2018,5,2022,9,5557074,2184051,-45.12058621,168.8562097,4995295.584,1274092.667,Otago Region
AA156,2016,3,2019,6,5549074,2184051,-45.19248795,168.8510923,4987287.425,1274101.007,Otago Region
AA157,2015,2,2017,4,5541074,2184051,-45.26438878,168.8459619,4979279.242,1274109.86,Otago Region
AA158,2016,3,2018,5,5533074,2184051,-45.33628869,168.8408187,4971271.035,1274119.235,Otago Region
AA159,2014,1,2014,1,5525074,2184051,-45.40818764,168.8356625,4963262.811,1274129.136,Otago Region
AA160,2014,1,2014,1,5517074,2184051,-45.48008556,168.8304933,4955254.575,1274139.554,Southland Region
AA161,2014,1,2015,2,5509074,2184051,-45.55198243,168.825311,4947246.331,1274150.492,Southland Region
AA162,2017,4,2020,7,5501074,2184051,-45.62387806,168.8201157,4939238.1,1274161.961,Southland Region
AA163,2018,5,2023,10,5493074,2184051,-45.69577232,168.8149075,4931229.896,1274173.969,Southland Region
AA164,2016,3,2018,5,5485074,2184051,-45.76766518,168.8096862,4923221.726,1274186.517,Southland Region
AA165,2016,3,2019,6,5477074,2184051,-45.83955656,168.804452,4915213.595,1274199.608,Southland Region
AA166,2017,4,2021,8,5469074,2184051,-45.91144643,168.7992046,4907205.507,1274213.245,Southland Region
AA167,2015,2,2016,3,5461074,2184051,-45.98333479,168.7939442,4899197.463,1274227.426,Southland Region
AA168,2016,3,2018,5,5453074,2184051,-46.05522149,168.7886705,4891189.48,1274242.15,Southland Region
AA169,2015,2,2017,4,5445074,2184051,-46.12710664,168.7833836,4883181.545,1274257.426,Southland Region
AA170,2014,1,2015,2,5437074,2184051,-46.19899027,168.7780835,4875173.656,1274273.258,Southland Region
AA171,2016,3,2019,6,5429074,2184051,-46.27087257,168.7727703,4867165.791,1274289.65,Southland Region
AA172,2017,4,2021,8,5421074,2184051,-46.34275312,168.7674439,4859157.996,1274306.613,Southland Region
AA173,2016,3,2019,6,5413074,2184051,-46.41463191,168.7621043,4851150.275,1274324.148,Southland Region
AA174,2015,2,2017,4,5405074,2184051,-46.4865089,168.7567516,4843142.633,1274342.261,Southland Region
AA175,2016,3,2019,6,5397074,2184051,-46.55838397,168.7513857,4835135.08,1274360.955,Southland Region
AB137,2016,3,2018,5,5701074,2192051,-43.82972887,169.0454435,5139433.241,1282031.044,West Coast Region
AB138,2014,1,2015,2,5693074,2192051,-43.90164362,169.0406815,5131426.907,1282031.255,West Coast Region
AB139,2016,3,2019,6,5685074,2192051,-43.97355833,169.035906,5123420.446,1282031.811,West Coast Region
AB140,2015,2,2016,3,5677074,2192051,-44.04547335,169.0311173,5115413.821,1282032.743,West Coast Region
AB141,2017,4,2021,8,5669074,2192051,-44.11738853,169.0263155,5107407.051,1282034.068,Otago Region
AB142,2015,2,2017,4,5661074,2192051,-44.18930371,169.0215009,5099400.152,1282035.802,Otago Region
AB143,2018,5,2023,10,5653074,2192051,-44.2612192,169.0166736,5091393.092,1282037.971,Otago Region
AB144,2014,1,2014,1,5645074,2192051,-44.33313455,169.0118337,5083385.922,1282040.579,Otago Region
AB145,2014,1,2015,2,5637074,2192051,-44.4050496,169.0069812,5075378.659,1282043.633,Otago Region
AB146,2015,2,2017,4,5629074,2192051,-44.4769642,169.0021166,5067371.321,1282047.179,Otago Region
AB147,2016,3,2019,6,5621074,2192051,-44.54887804,168.9972397,5059363.942,1282051.196,Otago Region
AB148,2017,4,2021,8,5613074,2192051,-44.62079106,168.9923505,5051356.532,1282055.695,Otago Region
AB149,2016,3,2018,5,5605074,2192051,-44.69270306,168.9874491,5043349.109,1282060.691,Otago Region
AB150,2015,2,2017,4,5597074,2192051,-44.76461436,168.9825351,5035341.64,1282066.156,Otago Region
AB151,2015,2,2017,4,5589074,2192051,-44.83652494,168.9776085,5027334.124,1282072.09,Otago Region
AB152,2018,5,2022,9,5581074,2192051,-44.90843477,168.9726693,5019326.567,1282078.498,Otago Region
AB153,2015,2,2017,4,5573074,2192051,-44.98034385,168.9677173,5011318.969,1282085.379,Otago Region
AB154,2018,5,2022,9,5565074,2192051,-45.05225207,168.9627527,5003311.341,1282092.742,Otago Region
AB155,2015,2,2016,3,5557074,2192051,-45.12415937,168.9577756,4995303.691,1282100.6,Otago Region
AB156,2016,3,2018,5,5549074,2192051,-45.19606566,168.9527859,4987296.029,1282108.962,Otago Region
AB157,2017,4,2021,8,5541074,2192051,-45.26797097,168.9477837,4979288.351,1282117.829,Otago Region
AB158,2016,3,2019,6,5533074,2192051,-45.33987535,168.9427691,4971280.655,1282127.211,Otago Region
AB159,2015,2,2017,4,5525074,2192051,-45.41177871,168.9377419,4963272.948,1282137.109,Southland Region
AB160,2017,4,2020,7,5517074,2192051,-45.483681,168.932702,4955265.235,1282147.518,Southland Region
AB161,2015,2,2017,4,5509074,2192051,-45.55558223,168.9276495,4947257.517,1282158.441,Southland Region
AB162,2014,1,2014,1,5501074,2192051,-45.6274822,168.9225844,4939249.817,1282169.888,Southland Region
AB163,2018,5,2023,10,5493074,2192051,-45.69938078,168.9175067,4931242.147,1282181.867,Southland Region
AB164,2015,2,2017,4,5485074,2192051,-45.77127794,168.9124164,4923234.514,1282194.382,Southland Region
AB165,2015,2,2016,3,5477074,2192051,-45.84317355,168.9073135,4915226.929,1282207.426,Southland Region
